PART NUMBER,E/P,Alloy,Spec,Size,Gr. Wt.,Mults ,Yields,2014 Price,2015 price
5104T06 P01F (5102T78),F414,H188,B50TF74, 4.00 ,90.4,4, 1 = 1,"1,165","1,142"
5104T20 (10043002) ,F404,6-4,AMS 4928, 8.00 ,94.3,1, 1 = 1 (40),"4,445","4,356"
5107T86 P01,F414,718,B50TF15, 4.00 ,28.4,1, 1 = 1 (6),945,926
5108T96 P01,F414,718 T,C50TF103, 6.00 ,48.8,1, 1 = 1,"1,112","1,090"
5108T97 P01,F414,718 T,C50TF103, 6.00 ,49.1,2, 1 = 1,597,585
5110T00 P02,F414-400,6-4,AMS 4928, 8.00 ,53.8,5, 1 = 1 (4),751,736
5110T02 P02,F414-400,6-4,AMS 4928, 8.00 ,52.8,5, 1 = 1 (4),710,696
5114T28 G02/G03,F414,6-4,C50TF12 A, 12.00 ,630.0,1, 1 = 1,"23,354","22,887"
5114T50 P01 / P02,F414,2219,AMS 4143, 6.00 ,28.8,1, 1 = 1 (48),328,321
5114T51 P01 / P02,F414,6-4,AMS 4928, 6.00 ,39.7,1, 1 = 1 (36),"2,002","1,962"
5127T04 P01,J85 SPARES,6-4 CH,C50TF12 I, 6.00 ,92.5,1, 1 = 1,"6,598","6,466"
5127T05 P03,J85 SPARES,6-2-4-2,C50TF39B, 6.00 ,96.5,1, 1 = 1,"9,218","9,034"
5127T24 P01 (5039T63 P01),T58,718 T,C50TF103, 6.00 ,24.1,1, 1 = 1,647,634
5127T25 P01 (5039T64 P01),T58,718 T,C50TF103, 6.00 ,32.1,1, 1 = 1,750,735
5142T11 P01,GE38,718 P,C50TF37, 12.00 ,927.0,1, 1 = 1,"25,827","25,310"
5142T25 P01,GE38,909,C50TF95, 4.00 ,227.7,1, 1 = 1,"6,438","6,309"
5142T60 G01,GE38,R41,B50TF110, 6.00 ,118.1,2, 1 = 1,"3,170","3,107"
5142T66 G01,GE38,R41,B50TF110,9.50,164.0,2, 1 = 1,"3,721","3,647"
6005T23,T64,6-4,C50T61, 10.00 ,300.9,1, 1 = 1,"26,492","25,962"
6019T86 G05,TF-34,718,B50TF15, 6.00 ,83.1,1, 1 = 1,"1,483","1,453"
6025T29 G04 / G05 (17A137-137),F404,718,B50TF15, 6.00 ,188.0,1, 1 = 1,"4,244","4,159"
6038T35 G02,CT7/T700,H X,AMS 5754, 4.00 ,39.4,3, 1 = 1 (4),658,645
6040T22 P01,CF34,6061,AMS 4127, 4.50 ,8.2,1, 1 = 1,252,247
6042T08 P01,F404,6061,AMS 4127, 7.25 ,38.4,1, 1 = 1 (50),338,331
6043T32P04,,718,B50TF15,6.00,84,1, 1 = 1,"3,346","3,279"
6047T30 G03,CF34,6061,AMS 4127, 9.25 ,131.7,2, 1 = 1,247,242
6054T86 G01 / G02 / G03 / G04,F404-100/400,6061,AMS 4127, 7.25 ,36.6,2, 1 = 1 (14),597,585
