SUPPLIER,GE PART NUMBER,FORGE PART NUMBER,Machining Source,Machining Source,Engine ,WEIGHT,WRP,ALLOY,Mat''l Spec.,2011 $ per part,2012 raw mat'l,2012 Bar cost,2012,2012 $ per part,2013 $ per part,2014 $ per part
Welded Ring,9977013-724G01,9977013-724P02,JET Engine,,LM2500,23.4,40390,INC 718,B50TF15 CL-A,$774.40, $22.18 ,$519.01,$300.55,$819.56,$774.00,$774.00
Welded Ring,9977013-733P02,9977013-733P02,Numet,,,56.14,40289,INC 718,B50TF15 CL-A,"$1,825.00", $21.96 ,"$1,232.83",$700.52,"$1,933.35","$1,933.00","$1,933.00"
Welded Ring,9977013-775G01 KIT,9977013-388P01,Smith West,,LM2500,51.12,40224,INC 718,B50TF15 CL-D,"$1,574.14", $23.71 ,"$1,212.06",$460.75,"$1,672.81","$1,672.00","$1,672.00"
Welded Ring,9977013-777G01 KIT,9977013-416P01,Smith West,,LM2500,48.81,40200,INC 718,B50TF15 CL-D,"$1,746.00", $22.71 ,"$1,108.48",$731.73,"$1,840.21","$1,840.00","$1,840.00"
Welded Ring,L25158 G01,L25158P01-FG,Columbia,,LM2500,53.07,50083,INC X 750,AMS 5667,"$2,096.62", $21.00 ,"$1,114.47",$982.15,"$2,096.62","$2,060.00","$2,060.00"
Welded Ring,L47610 G01,L47610P01-FG,Columbia,,LM2500,64.98,40298,INC 718,B50TF15 CL-D,"$2,021.28", $22.96 ,"$1,491.94",$654.75,"$2,146.69","$2,146.00","$2,146.00"
,,,,,CF6,,,,,$0.00,,$0.00,,$0.00,#REF!,#REF!
,,                      GE QTY. WEIGHT,,,,"1,882,859.73",,,,$0.00,,$0.00,,$0.00,#REF!,#REF!
,,                    WRP QTY. WEIGHT,,,,"1,636,057.56",,,,$0.00,,$0.00,,$0.00,#REF!,#REF!
,,,,,,,,,,$0.00,,$0.00,,$0.00,#REF!,#REF!
Welded Ring,L56715G01,4013382-700P01,AIDC,,CF6-80C,32.5,40354,INC 718,B50TF15 CL-A,"$1,439.72", $23.00 ,$747.50,$795.24,"$1,542.74","$1,525.00","$1,525.00"
Welded Ring,L56785P02,4013542-805P01,SpaceCraft,,LMS100,67.88,,INC 718,AMS 5663,"$2,502.74", $21.76 ,"$1,477.07","$1,156.68","$2,633.75","$2,633.00","$2,633.00"
Welded Ring,SK58600-583 G01,F1384-1,Steel Tool,,CF-34,12.53,26078,INC 625,AMS 5666,$488.49, $26.38 ,$330.54,$186.52,$517.06,$488.00,$488.00
,,,,,,,,,,,,,,,,
JTA / GH 9-25-12,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
