Part Number,Nomenclature,Qty/Parent,Parent PN,Qty/Grand_Parent,Parent Nomen,QPE
1840M79P01,"STIFFENER,INNER",12,1650M58G03,1,"FR ASSY,TURB",12
1840M79P01,"STIFFENER,INNER",12,1650M58G04,1,"FR ASSY,TURB",12
1840M79P01,"STIFFENER,INNER",12,1650M58G05,1,"FR ASSY,TURB",12
1840M79P01,"STIFFENER,INNER",12,1650M58G06,1,"FR ASSY,TURB",12
1840M79P01,"STIFFENER,INNER",12,2115M58G02,1,"FR,ASSY, TURB",12
1840M79P01,"STIFFENER,INNER",12,2115M58G03,1,"FR,ASSY, TURB",12
1840M79P01,"STIFFENER,INNER",12,2115M58G04,1,"FR,ASSY, TURB",12
1840M79P01,"STIFFENER,INNER",12,2115M58G05,1,"FR,ASSY, TURB",12
1840M79P01,"STIFFENER,INNER",12,2115M58G06,1,"FR,ASSY, TURB",12
1840M79P01,"STIFFENER,INNER",12,2115M58G07,1,"FR,ASSY, TURB",12
1499M57P03,"HNG,SHRD-HPTU",23,1498M23G01,1,"SPRT ASSY,SHRD",23
1499M57P03,"HNG,SHRD-HPTU",23,1498M23G02,1,"SPRT ASSY,SHRD",23
1499M57P03,"HNG,SHRD-HPTU",23,1498M29G01,1,SUPPORT ASSY,23
1499M57P03,"HNG,SHRD-HPTU",23,1498M29G02,1,SUPPORT ASSY,23
1499M57P03,"HNG,SHRD-HPTU",23,1499M74G03,1,"SPRT ASSY,SHRD",23
1499M57P03,"HNG,SHRD-HPTU",23,1499M74G04,1,"SPRT ASSY,SHRD",23
1499M57P03,"HNG,SHRD-HPTU",23,1499M74G05,1,"SPRT ASSY,SHRD",23
1499M57P03,"HNG,SHRD-HPTU",23,1499M74G06,1,"SPRT ASSY,SHRD",23
1499M57P03,"HNG,SHRD-HPTU",23,1499M74G07,1,"SPRT ASSY,SHRD",23
1499M57P03,"HNG,SHRD-HPTU",23,1499M74G08,1,"SPRT ASSY,SHRD",23
1499M57P03,"HNG,SHRD-HPTU",23,1667M55G01,1,SUPPORT ASSY,23
1499M57P03,"HNG,SHRD-HPTU",23,1667M55G02,1,SUPPORT ASSY,23
1499M57P03,"HNG,SHRD-HPTU",23,1667M55G03,1,SUPPORT ASSY,23
1499M57P03,"HNG,SHRD-HPTU",23,1498M23G01,1,"SPRT ASSY,SHRD",23
1499M57P03,"HNG,SHRD-HPTU",23,1498M23G02,1,"SPRT ASSY,SHRD",23
1499M57P03,"HNG,SHRD-HPTU",23,1498M29G01,1,SUPPORT ASSY,23
1499M57P03,"HNG,SHRD-HPTU",23,1498M29G02,1,SUPPORT ASSY,23
1499M57P03,"HNG,SHRD-HPTU",23,1499M74G03,1,"SPRT ASSY,SHRD",23
1499M57P03,"HNG,SHRD-HPTU",23,1499M74G04,1,"SPRT ASSY,SHRD",23
1499M57P03,"HNG,SHRD-HPTU",23,1499M74G05,1,"SPRT ASSY,SHRD",23
1499M57P03,"HNG,SHRD-HPTU",23,1499M74G06,1,"SPRT ASSY,SHRD",23
1499M57P03,"HNG,SHRD-HPTU",23,1499M74G07,1,"SPRT ASSY,SHRD",23
1499M57P03,"HNG,SHRD-HPTU",23,1499M74G08,1,"SPRT ASSY,SHRD",23
1499M57P03,"HNG,SHRD-HPTU",23,1667M55G01,1,SUPPORT ASSY,23
1499M57P03,"HNG,SHRD-HPTU",23,1667M55G02,1,SUPPORT ASSY,23
1499M57P03,"HNG,SHRD-HPTU",23,1667M55G03,1,SUPPORT ASSY,23
2047M36P01,"RING,RETAINING",1,2202M50G01,1,CORE ASSEMBLY,1
2047M36P01,"RING,RETAINING",1,2202M50G02,1,CORE ASSEMBLY,1
2047M36P01,"RING,RETAINING",1,2202M50G03,1,CORE ASSEMBLY,1
2047M36P01,"RING,RETAINING",1,2202M50G04,1,CORE ASSEMBLY,1
2047M36P01,"RING,RETAINING",1,2202M50G05,1,CORE ASSEMBLY,1
2047M36P01,"RING,RETAINING",1,2202M59G01,1,CORE ASSEMBLY,1
2047M36P01,"RING,RETAINING",1,2202M59G02,1,CORE ASSEMBLY,1
2116M69P01,"RING,DAMPER",1,2305M57G03,1,HPT ROTOR,1
2116M69P01,"RING,DAMPER",1,2305M57G04,1,HPT ROTOR,1
2116M69P01,"RING,DAMPER",1,2305M57G05,1,HPT ROTOR,1
2116M69P01,"RING,DAMPER",1,2305M57G06,1,HPT ROTOR,1
2116M69P01,"RING,DAMPER",1,2305M57G07,1,HPT ROTOR,1
2116M69P01,"RING,DAMPER",1,2305M57G08,1,HPT ROTOR,1
5104T60P04,"RING,DAMPER",1,5100T63G02,1,ROTOR,1
5104T60P04,"RING,DAMPER",1,5100T63G03,1,ROTOR,1
5104T60P04,"RING,DAMPER",1,5100T63G04,1,ROTOR,1
5104T60P03,"RING,DAMPER",1,5100T63G02,1,ROTOR,1
5104T60P03,"RING,DAMPER",1,5100T63G03,1,ROTOR,1
5104T60P03,"RING,DAMPER",1,5100T63G04,1,ROTOR,1
1854M96G01,LINER ASSY-COMP,9,1457M26G01,1,"STAT ASSY, COMP",9
1854M96G01,LINER ASSY-COMP,9,1457M26G02,1,"STAT ASSY, COMP",9
1854M96G01,LINER ASSY-COMP,9,1457M26G03,1,"STAT ASSY, COMP",9
1854M96G01,LINER ASSY-COMP,9,1457M26G04,1,"STAT ASSY, COMP",9
1854M96G01,LINER ASSY-COMP,9,1457M26G05,1,"STAT ASSY, COMP",9
1854M96G01,LINER ASSY-COMP,9,1457M26G06,1,"STAT ASSY, COMP",9
1854M96G01,LINER ASSY-COMP,9,1457M26G07,1,"STAT ASSY, COMP",9
1854M96G01,LINER ASSY-COMP,9,1457M26G08,1,"STAT ASSY, COMP",9
1854M96G01,LINER ASSY-COMP,9,1457M26G09,1,"STAT ASSY, COMP",9
1854M96G01,LINER ASSY-COMP,9,1457M26G10,1,"STAT ASSY, COMP",9
1854M96G01,LINER ASSY-COMP,9,1457M26G11,1,"STAT ASSY, COMP",9
1854M96G01,LINER ASSY-COMP,1,1854M96G01,9,LINER ASSY-COMP,9
1854M96G01,LINER ASSY-COMP,9,682L670G01,1,HPC STATOR BUIL,9
1854M96G01,LINER ASSY-COMP,9,9255M39G01,1,STATOR ASSEMBLY,9
1854M96G01,LINER ASSY-COMP,9,9255M39G02,1,STATOR ASSEMBLY,9
1854M96G01,LINER ASSY-COMP,9,9255M39G03,1,STATOR ASSEMBLY,9
1854M96G01,LINER ASSY-COMP,9,9255M39G04,1,STATOR ASSEMBLY,9
1854M96G01,LINER ASSY-COMP,9,L43054G01,1,"STATOR,COMPR",9
1854M96G01,LINER ASSY-COMP,9,L43568G01,1,"STATOR, COMPR",9
1854M96G01,LINER ASSY-COMP,9,L43568G02,1,"STATOR, COMPR",9
1854M96G01,LINER ASSY-COMP,9,L43568G03,1,"STATOR, COMPR",9
1854M96G01,LINER ASSY-COMP,9,L43568G04,1,"STATOR, COMPR",9
1854M96G01,LINER ASSY-COMP,9,L43568G05,1,"STATOR, COMPR",9
1854M96G01,LINER ASSY-COMP,9,L43568G06,1,"STATOR, COMPR",9
1854M96G01,LINER ASSY-COMP,9,L43568G07,1,"STATOR, COMPR",9
1854M96G01,LINER ASSY-COMP,9,L43568G08,1,"STATOR, COMPR",9
1854M96G01,LINER ASSY-COMP,9,L43568G09,1,"STATOR, COMPR",9
1854M96G01,LINER ASSY-COMP,9,L43568G10,1,"STATOR, COMPR",9
1854M96G01,LINER ASSY-COMP,9,1457M26G01,1,"STAT ASSY, COMP",9
1854M96G01,LINER ASSY-COMP,9,1457M26G02,1,"STAT ASSY, COMP",9
