Buyer,Part Number,Nomenclature ,QPA,GE NEG,Finished Part Supplier ,Engine Program,2015 QTY,Raw Material P/N,RM-Type,R/M Supplier,Plant,Yield , R/M Unit Price 2014 , R/M Unit Price 2015 ,Comments
,1711M86G03,,1,Yes,89382-TEI,GE90,,4013382-912P01,Forging_Ring_Welded_W,PCC,PCC,1.00,"$2,978.62 ","$2,919.05 ",
,1748M42P03,,1,Yes,89382-TEI,#N/A,,4013437-202P01,Forging_Ring_Welded_W,PCC,PCC,1.00,"$7,146.48 ","$7,003.55 ",
,1748M43P03,,1,Yes,89382-TEI,GE90,,4013437-203P01,Forging_Ring_Welded_W,PCC,PCC,1.00,"$7,739.20 ","$7,584.41 ",
,1748M45P03,,1,Yes,89382-TEI,GE90,,4013437-205P01,Forging_Ring_Welded_W,PCC,PCC,1.00,"$4,755.57 ","$4,660.46 ",tei has material on hand
,1963M32G01,,1,Yes,89382-TEI,GE90,,T020187-01,Forging_Ring_Welded_W,PCC,PCC,1.00,"$1,200.00 ","$1,176.00 ",material is flat 2015
,2090M10G01,,1,Yes,89382-TEI,#N/A,,4013703-324P01,Forging_Ring_Welded_W,PCC,PCC,1.00,"$4,101.96 ","$4,019.92 ",part terminated at  TEI
,2090M10G01,,1,Yes,89382-TEI,#N/A,,4013703-323P01,Forging_Ring_Welded_W,PCC,PCC,1.00,"$2,943.46 ","$2,884.59 ",part terminated at  TEI
,2090M10G01,,1,Yes,89382-TEI,#N/A,,4013703-322P01,Forging_Ring_Welded_W,PCC,PCC,1.00,"$2,211.19 ","$2,166.97 ",
,2302M91G02,,0.5,Yes,89382-TEI,GenX,,T070021-01,Forging_Ring_Welded_W,PCC,PCC,0.50,"$2,422.57 ","$2,374.12 ",
,2302M91G02,,0.33,Yes,89382-TEI,GenX,,T070020-01,Forging_Ring_Welded_W,PCC,PCC,0.33,"$1,543.08 ","$1,512.22 ",
,2302M93P01,,1,Yes,89382-TEI,GenX,,T080018-01,Forging_Ring_Welded_W,PCC,PCC,1.00,"$2,634.88 ","$2,582.18 ",
,4013382-683P01,,1,Yes,89382-TEI,CF6,,4013382-682P02,Forging_Ring_Welded_W,PCC,PCC,1.00,"$6,120.89 ","$5,998.48 ",
,4015M12G01,,1,Yes,89382-TEI,CF6,,T020169-01,Forging_Ring_Welded_W,PCC,PCC,1.00,$652.48 ,$639.43 ,new source xae
,9374M37G05,,1,Yes,89382-TEI,#N/A,,T020169-01,Forging_Ring_Welded_W,PCC,PCC,1.00,$652.48 ,$639.43 ,new source xae
,9977013-724G01,,1,Yes,89382-TEI,LM2500,,T020214-01 - NNS (9977013-724P04),Forging_Ring_Welded_W,PCC,PCC,1.00,"$1,369.68 ","$1,342.28 ",
,9977013-835G01,,1,Yes,89382-TEI,LM2500,,T020214-01 - NNS (9977013-724P04),Forging_Ring_Welded_W,PCC,PCC,,"$1,369.68 ","$1,342.28 ",
,2303M31G04,,1,Yes,89382-TEI,GenX,,t110056-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$2,265.00 ","$2,220.00 ",
,2303M31G05,,1,Yes,89382-TEI,GenX,,t110056-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$2,265.00 ","$2,220.00 ",
